23	68	699	430	474	4448	1293	91	701	442
10806	74	79	2654	9690	7474	4340	20549	731	27702
159	133	134	141	112	125	109	111	108	130
14150	4168	6913	18609	47052	25576	12195	53108	5041	14681
290	6276	639	3082	5526	643	1076	1066	662	288
781	9708	572	573	593	8660	2613	296	2700	8663
400	15393	3872	1392	7981	7978	260	16751	9242	7980
605	283	91	6750	39	68	3221	51	22	236
1144	26359	18522	249	49668	22730	248	514	772	496
430	68	442	776	283	474	250	4448	1208	39
1666	1142	246	1195	1564	2747	917	233	801	2290
754	9	295	55	30	32	1308	240	225	1301
578	579	577	1282	3345	1296	1269	2724	1666	5142
55	1301	32	295	754	240	1308	7405	26	7404
1033	39439	29811	10921	10924	10699	249	10922	10403	10310
1061	1336	7698	1117	569	24118	681	3269	17474	588
1226	1228	1234	1231	1174	1170	1224	259	1155	1176
12	1142	233	246	449	22	239	1269	1666	1296
1420	52447	24844	20231	32344	50347	49951	50935	19895	54088
1497	52591	37461	50528	898	20829	56679	55038	1493	3607
6292	1548	295	7405	1308	568	505	298	265	26
1993	7777	51389	21640	21636	13147	59192	21641	17785	18004
2153	705	2680	895	1617	6056	801	2747	1745	634
1142	246	2747	1666	577	7261	288	239	1195	801
2213	2208	2205	2215	2224	43	3237	4045	12004	954
2346	25103	23347	47686	53906	19328	53879	47791	14348	4913
9048	3263	2556	14048	2127	16597	246	6056	2426	946
2547	131	2425	2680	798	705	1617	2993	2747	801
2597	1076	2564	643	2478	5526	2290	3114	1066	170
3269	3280	4350	569	3136	1336	6128	1062	304	285
2785	4094	1953	1293	1426	928	4119	389	1452	699
2809	56363	13299	42735	9846	9446	26808	7060	2814	9840
2842	2850	52853	59811	10908	4601	60450	12781	59819	53215
55477	1378	44053	41446	14636	27368	44249	2899	37281	32319
3054	48849	36544	43167	4871	49970	52961	25309	58526	39266
3144	2347	573	383	296	2613	285	2623	1593	762
3177	42406	45698	58428	57498	22205	35492	3519	15150	50462
3234	12392	14750	46079	22394	3730	18422	47904	256	22379
3262	3285	3297	3292	3293	3287	3288	19042	4190	57619
3347	3332	3333	2281	347	20416	4886	226	1066	4852
3372	3401	3437	38603	3393	3518	3177	57498	3404	3496
2562	2408	9438	2478	10976	6074	930	3266	6826	1076
26	761	265	605	31	6	568	738	506	3800
3679	18126	11229	44632	58583	27870	21856	54904	15433	42697
738	225	33	30	17	265	29	55	26	568
2068	1205	3923	1412	1268	9892	283	363	250	776
1142	246	2747	1666	577	7261	288	239	1195	801
4172	16112	91	5999	928	701	29576	3125	3	561
1635	8086	618	3921	2129	12856	3344	7757	2550	6228
3975	3973	16791	4057	4027	5505	7932	300	7771	4002
1293	7841	745	761	889	47	1331	1292	3955	3800
430	68	442	776	3	283	474	250	4448	1208
