3	1280	746	288	27
63	58	3095	62	223
10723	42493	44877	42452	12244
11444	4757	16231	12531	16784
289	286	3143	2365	7257
316	358	5150	356	24894
2686	367	2411	2614	2343
469	514	5119	5656	3641
554	537	1555	14	13690
568	19049	36788	11779	36793
288	8331	13359	800	3
3	1285	10	3742	6
793	780	792	877	823
594	257	12027	3823	3811
56682	50146	1001	18660	29669
783	1740	1831	5614	2126
1206	1153	29805	1178	1146
3	1280	1285	5489	746
1391	1419	3150	1416	6758
4922	1450	3326	3327	3600
1556	16351	19312	1529	16359
1995	1989	27464	1996	20778
1142	11717	259	1590	154
2036	486	5489	288	4757
2216	2221	21191	10839	29324
2247	2258	2249	2330	47158
2452	2423	2428	2460	2446
19	762	2228	5948	3109
400	9112	33604	378	13088
307	11824	754	5704	8742
469	514	5119	5656	9983
246	1245	3114	7379	1190
1226	1849	10431	1848	2836
2864	2879	140	644	2883
2929	6238	7056	3170	2920
346	5588	16502	6726	9403
2907	386	1118	1272	3685
3	1416	5489	3742	3150
3263	4257	643	3095	5542
5489	4190	2427	891	734
3387	3375	3381	3386	3397
5	1413	6340	3706	3721
703	1137	7693	750	839
3686	2467	45551	21371	3646
3	6070	11252	194	3095
642	13232	1212	3	20338
1142	259	11717	1590	2153
512	457	5458	37	285
17641	1275	1215	369	5624
3973	14224	42	1697	698
4174	4958	1383	14224	6
670	1203	43070	4285	642
13359	4346	2434	6469	2658
816	3230	4363	108	734
5591	775	985	4184	4324
28341	3235	5634	100	924
4479	15017	15015	11521	5621
1226	1849	1848	10431	5243
4626	4635	4625	4632	5759
4751	4777	4778	8796	4783
1094	4831	4827	4858	16631
3	3742	5549	10	6
1763	3964	1212	4020	1762
270	298	11703	7715	15803
554	5	549	1413	14
3358	8133	5416	31100	6215
6141	9891	11975	11952	11252
5456	1285	3	288	687
314	1405	5526	770	16372
2216	3	1285	3742	1280
13359	816	2434	781	734
13359	734	2434	892	6469
3976	721	1697	9365	14175
5831	949	5813	7463	20800
5849	5848	5853	5856	9625
486	12531	4757	11444	6000
13359	734	2621	6469	1644
1	703	1137	7693	750
698	288	3	1285	10
3	27	5549	3742	4545
11252	24894	3095	2427	5150
2920	3011	2975	3008	2976
11717	1590	114	1142	154
18	3235	28341	100	593
6323	6326	8883	14775	24040
172	2726	856	892	22398
6452	6535	6444	2638	6469
6564	6620	6614	6607	4700
1535	16351	1556	1534	1539
56	1245	7379	3114	690
3536	2944	76	3369	3375
